episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
68,0,-191,24,-837.4705882352941,24,0,0,91.69999999999993,0.007848532729678684
69,0,-396,35,-831.072463768116,55,0,0,75.0,0.00789133071899414
70,0,-283,26,-823.2428571428571,23,0,0,97.40000000000009,0.00792697654830085
71,0,-443,47,-817.887323943662,96,0,0,84.10000000000002,0.007986757887734307
72,0,-406,41,-812.1666666666666,101,0,0,54.30000000000007,0.008041011624866062
73,0,-211,22,-803.931506849315,33,0,0,230.59999999999997,0.008071849942207337
74,0,-459,50,-799.2702702702703,112,0,0,204.60000000000002,0.008133254051208495
75,0,-218,22,-791.52,12,0,0,305.30000000000007,0.008167166776127286
76,0,-267,23,-784.6184210526316,13,0,0,359.1,0.008193273875448439
77,0,-281,28,-778.077922077922,36,0,0,392.79999999999995,0.008221716350979276
78,0,-238,27,-771.1538461538462,38,0,0,351.50000000000006,0.008265042437447441
79,0,-243,23,-764.4683544303797,28,0,0,310.4,0.008307240671581692
80,0,-247,24,-758.0,16,0,0,262.99999999999994,0.008337691823641458
81,0,-264,29,-751.9012345679013,33,0,0,266.5,0.008377273877461752
82,0,-314,31,-746.560975609756,25,0,0,262.09999999999997,0.00841739555199941
83,0,-160,16,-739.4939759036145,0,0,0,173.2,0.008438352876239353
84,0,-213,19,-733.2261904761905,3,0,0,201.0,0.008462587396303813
85,0,-166,18,-726.5529411764705,2,0,0,143.59999999999997,0.00847846269607544
86,0,-195,19,-720.3720930232558,4,0,0,108.4,0.00849842780166202
87,0,-188,19,-714.2528735632184,4,0,0,92.69999999999999,0.008519963092274136
88,0,-216,20,-708.5909090909091,4,0,0,99.6,0.008543661567899916
89,0,-220,21,-703.1011235955057,4,0,0,86.59999999999997,0.0085745949877633
90,0,-182,17,-697.3111111111111,0,0,0,89.5,0.008602333664894104
91,0,-197,19,-691.8131868131868,0,0,0,78.29999999999998,0.008627855843967861
92,0,-172,17,-686.1630434782609,0,0,0,83.29999999999998,0.00865160220199161
93,0,-191,19,-680.8387096774194,2,0,0,75.10000000000002,0.008674249980184767
94,0,-193,19,-675.6489361702128,0,0,0,52.5,0.008703610565927293
95,0,-157,18,-670.1894736842105,4,0,0,48.20000000000002,0.008725272946887547
96,0,-183,18,-665.1145833333334,0,0,0,42.19999999999999,0.00874816510412428
97,0,-215,20,-660.4742268041238,0,0,0,30.200000000000017,0.008775462044609918
98,0,-215,21,-655.9285714285714,2,0,0,28.099999999999994,0.008862632446818881
99,0,-187,19,-651.1919191919192,0,0,0,29.100000000000023,0.008892841670248244
100,0,-183,18,-646.51,0,0,0,22.5,0.008916136026382446
101,0,-232,22,-643.77,0,0,0,12.299999999999983,0.00894924455218845
102,0,-233,23,-640.49,0,0,0,-8.0,0.008977981938256158
103,0,-260,25,-637.26,0,0,0,-11.800000000000011,0.009011236959033542
104,0,-205,20,-636.07,0,0,0,-15.0,0.009035587840610081
105,0,-172,17,-621.41,0,0,0,-17.400000000000006,0.009058434499634636
106,0,-183,18,-617.51,0,0,0,-18.599999999999994,0.00908135778374142
107,0,-210,20,-594.93,0,0,0,-15.400000000000006,0.009105945891804166
108,0,-162,17,-582.01,0,0,0,-10.199999999999989,0.009130979312790765
109,0,-183,18,-582.03,0,0,0,-13.100000000000023,0.009154267443550957
110,0,-183,18,-578.55,0,0,0,-13.0,0.009174017310142517
111,0,-193,18,-555.75,0,0,0,-5.599999999999994,0.009195958375930785
112,0,-205,20,-554.46,0,0,0,3.3000000000000114,0.009215852883127
113,0,-172,17,-534.64,0,0,0,19.0,0.009238828354411656
114,0,-194,19,-527.18,0,0,0,21.30000000000001,0.009263074000676472
115,0,-182,17,-518.89,0,0,0,21.80000000000001,0.009285155336062114
116,0,-195,20,-516.68,0,0,0,20.599999999999994,0.00931360423564911
117,0,-195,20,-512.98,0,0,0,21.599999999999994,0.00939972632461124
118,0,-210,20,-509.52,0,0,0,11.5,0.009437878595458136
119,0,-182,17,-503.36,0,0,0,11.200000000000017,0.00946415709124671
120,0,-161,16,-495.95,0,0,0,13.400000000000006,0.009486859771940442
121,0,-200,20,-477.46,0,0,0,8.800000000000011,0.009516610900561015
122,0,-182,17,-474.48,0,0,0,8.299999999999983,0.009542411300871106
123,0,-198,19,-472.95,0,0,0,-3.0999999999999943,0.009570427338282268
124,0,-216,21,-470.17,0,0,0,-6.400000000000006,0.00959956685702006
125,0,-183,18,-465.15,0,0,0,-5.5,0.009625233014424642
